en_source,vn_translate,loi_du_doan
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
test weapon,test weapon,C?n ti?ng Anh nghi v?n: test; weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Unique Effect: Grants Heavy Attack DMG Bonus.,Hiệu ứng Đặc biệt: Tăng Sát Thương Heavy Attack.,C?n ti?ng Anh nghi v?n: Attack; Heavy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Unique Effect: Grants Basic Attack DMG Bonus.,Hiệu ứng Đặc biệt: Tăng Sát Thương Basic Attack.,C?n ti?ng Anh nghi v?n: Attack; Basic | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Event Bonus,Event Bonus,C?n ti?ng Anh nghi v?n: Bonus; Event | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Shop Bonus,Shop Bonus,C?n ti?ng Anh nghi v?n: Bonus; Shop | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Not Now,Not Now,C?n ti?ng Anh nghi v?n: Not; Now | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Switch Area,Switch Area,C?n ti?ng Anh nghi v?n: Area; Switch | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Test Complete,Test Complete,C?n ti?ng Anh nghi v?n: Complete; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Damage Increase,Damage Increase,C?n ti?ng Anh nghi v?n: Damage; Increase | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Heavy Attack,Heavy Attack,C?n ti?ng Anh nghi v?n: Attack; Heavy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Basic Attack,Basic Attack,C?n ti?ng Anh nghi v?n: Attack; Basic | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Heavy Attack,Heavy Attack,C?n ti?ng Anh nghi v?n: Attack; Heavy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Save Only,Save Only,C?n ti?ng Anh nghi v?n: Only; Save | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Heavy Attack,Heavy Attack,C?n ti?ng Anh nghi v?n: Attack; Heavy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Heavy Attack,Heavy Attack,C?n ti?ng Anh nghi v?n: Attack; Heavy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Basic Attack,Basic Attack,C?n ti?ng Anh nghi v?n: Attack; Basic | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Intro Skill,Intro Skill,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Effect,New Effect,C?n ti?ng Anh nghi v?n: Effect; New | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mode Switch,Mode Switch,C?n ti?ng Anh nghi v?n: Mode; Switch | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Not Now,Not Now,C?n ti?ng Anh nghi v?n: Not; Now | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Lahai-Roi Blocks event ID mismatch,Lahai-Roi Blocks event ID mismatch,C?n ti?ng Anh nghi v?n: Blocks; event; Lahai; mismatch | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.667 | M?c ??: 21.67
In the Name of the Magistrate,In the Name of the Magistrate,C?n ti?ng Anh nghi v?n: In; Magistrate; Name; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.667 | M?c ??: 21.67
"Find the fallen space station during the Main Quest ""The Star That Voyages Far"" to unlock","Tìm trạm vũ trụ rơi trong Nhiệm Vụ Chính ""The Star That Voyages Far"" để mở khóa",C?n ti?ng Anh nghi v?n: Far; Star; That; Voyages | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.667 | M?c ??: 21.67
"Find the fallen space station during the Main Quest ""The Star That Voyages Far"" to unlock","Tìm trạm vũ trụ rơi trong Nhiệm Vụ Chính ""The Star That Voyages Far"" để mở khóa",C?n ti?ng Anh nghi v?n: Far; Star; That; Voyages | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.667 | M?c ??: 21.67
"Unlock the expedition motorbike during the Main Quest ""What Burns Beneath Frostlands""","Mở khóa xe máy thám hiểm trong Nhiệm vụ Chính ""What Burns Beneath Frostlands""",C?n ti?ng Anh nghi v?n: Beneath; Burns; Frostlands; What | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.667 | M?c ??: 21.67
"Unlocked after discovering any ""Ruins Where Shadows Roam"" challenge","Mở khóa sau khi phát hiện bất kỳ thử thách ""Ruins Where Shadows Roam""",C?n ti?ng Anh nghi v?n: Roam; Ruins; Shadows; Where | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.667 | M?c ??: 21.67
"Heart of the Cards, Guide Me","Heart of the Cards, Guide Me",C?n ti?ng Anh nghi v?n: Cards; Guide; Heart; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.667 | M?c ??: 21.67
"Complete Exploration Quest ""The Song of Ice and Steel""","Hoàn thành Nhiệm Vụ Thám Hiểm ""The Song of Ice and Steel""",C?n ti?ng Anh nghi v?n: and; Ice; of; Steel | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.667 | M?c ??: 21.67
Unique Effect: All Combo skills gain <color=Highlight>{0}</color> DMG Bonus.,Hiệu ứng Đặc biệt: Tất cả Combo skill nhận <color=Highlight>{0}</color> DMG Bonus.,C?n ti?ng Anh nghi v?n: Bonus; Combo; skill | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 21.5
Unique Effect: All Burst skills gain <color=Highlight>{0}</color> DMG Bonus.,Hiệu ứng Đặc biệt: Tất cả Burst skill nhận <color=Highlight>{0}</color> DMG Bonus.,C?n ti?ng Anh nghi v?n: Bonus; Burst; skill | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 21.5
"Obtain 1,500 Matrix Crystals in ""Virtual Crisis: Prototype Trials""","Thu thập 1.500 Matrix Crystal trong ""Virtual Crisis: Prototype Trials""",C?n ti?ng Anh nghi v?n: Crisis; Matrix; Prototype; Trials; Virtual | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.625 | M?c ??: 21.25
"Obtain 4,000 Illusive Points in the current ""Fantasies of the Thousand Gateways""","Thu thập 4.000 Points Ảo Ảnh trong ""Fantasies of the Thousand Gateways"" hiện tại",C?n ti?ng Anh nghi v?n: Fantasies; Gateways; of; Points; Thousand | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.625 | M?c ??: 21.25
"Clear The Sealed Gate: Easy in the event ""Lahai-Roi Blocks""","Hoàn thành The Sealed Gate: Easy trong sự kiện ""Lahai-Roi Blocks""",C?n ti?ng Anh nghi v?n: Blocks; Easy; Gate; Lahai; Sealed | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.625 | M?c ??: 21.25
"Completed Theater 3 ""Psyche Pass: The Outlier"" - Ending Two Unlocked: ""The Eternal Watch""","Hoàn thành Nhà hát 3 ""Psyche Pass: The Outlier"" - Mở khóa Kết thúc Hai: ""The Eternal Watch""",C?n ti?ng Anh nghi v?n: Eternal; Outlier; Pass; Psyche; Watch | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.625 | M?c ??: 21.25
"Earn a Rating higher than A on any difficulty in ""The Sound of Lost Joy"" to unlock","Đạt Đánh giá cao hơn A ở bất kỳ độ khó nào trong ""The Sound of Lost Joy"" để mở khóa",C?n ti?ng Anh nghi v?n: A; Joy; Lost; of; Sound | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.625 | M?c ??: 21.25
Obtain at least 24 Crests in any one phase of Tower of Adversity: Hazard Zone,Nhận được ít nhất 24 Crest trong bất kỳ giai đoạn nào của Tower of Adversity: Hazard Zone,C?n ti?ng Anh nghi v?n: Adversity; Hazard; of; Tower; Zone | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.625 | M?c ??: 21.25
"Open to obtain an Echo from one of the following Sonata Effects:

Void Thunder
Molten Rift","Mở để nhận Echo từ một trong các Hiệu Ứng Sonata sau:

Void Thunder
Molten Rift",C?n ti?ng Anh nghi v?n: Molten; Rift; Sonata; Thunder; Void | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.625 | M?c ??: 21.25
"Open to obtain an Echo from one of the following Sonata Effects:

Void Thunder
Molten Rift","Mở để nhận Echo từ một trong các Hiệu Ứng Sonata sau:

Void Thunder
Molten Rift",C?n ti?ng Anh nghi v?n: Molten; Rift; Sonata; Thunder; Void | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.625 | M?c ??: 21.25
Designer of the Second Coming of Solaris,Designer of the Second Coming of Solaris,C?n ti?ng Anh nghi v?n: Coming; Designer; of; Second | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.714 | M?c ??: 21.14
"""Swim, Gulpuff, Swim"" failed","""Swim, Gulpuff, Swim"" failed",C?n ti?ng Anh nghi v?n: failed; Gulpuff; Swim | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"""Swim, Gulpuff, Swim"" completed","""Swim, Gulpuff, Swim"" completed",C?n ti?ng Anh nghi v?n: completed; Gulpuff; Swim | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
I.R.I.S,I.R.I.S,C?n ti?ng Anh nghi v?n: I; R; S | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
I.R.I.S.,I.R.I.S.,C?n ti?ng Anh nghi v?n: I; R; S | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
{message} I.R.I.S.,{message} I.R.I.S.,C?n ti?ng Anh nghi v?n: I; R; S | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Data Modify unlocks at Data Bank Level 21,Chức năng Data Modify mở khóa ở Cấp 21 Data Bank,C?n ti?ng Anh nghi v?n: Bank; Data; Modify | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"Lo, Lo, Lollo Logistics!","Lo, Lo, Lollo Logistics!",C?n ti?ng Anh nghi v?n: Lo; Logistics; Lollo | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Averardo Vault: Vault Depths,Averardo Vault: Vault Depths,C?n ti?ng Anh nghi v?n: Averardo; Depths; Vault | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Clear Nightmare Nest or Tacet Discord Nest 1 time,Vượt ải Nightmare Nest hoặc Discord Nest 1 lần,C?n ti?ng Anh nghi v?n: Discord; Nest; Nightmare | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Group A - Group Stage,Group A - Group Stage,C?n ti?ng Anh nghi v?n: A; Group; Stage | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Group B - Group Stage,Group B - Group Stage,C?n ti?ng Anh nghi v?n: B; Group; Stage | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"Tick tack, tick tack—","Tick tack, tick tack—",C?n ti?ng Anh nghi v?n: tack; tick; Tick | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"""Swim, Gulpuff, Swim"" Device","""Swim, Gulpuff, Swim"" Device",C?n ti?ng Anh nghi v?n: Device; Gulpuff; Swim | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Signals Hub & Signals Console,Signals Hub & Signals Console,C?n ti?ng Anh nghi v?n: Console; Hub; Signals | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Induction Cell & Cell Socket,Induction Cell & Cell Socket,C?n ti?ng Anh nghi v?n: Cell; Induction; Socket | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Induction Cell & Cell Socket,Induction Cell & Cell Socket,C?n ti?ng Anh nghi v?n: Cell; Induction; Socket | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Flare Crest & Flare Stone,Flare Crest & Flare Stone,C?n ti?ng Anh nghi v?n: Crest; Flare; Stone | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Light Emitter & Light Gatherer,Light Emitter & Light Gatherer,C?n ti?ng Anh nghi v?n: Emitter; Gatherer; Light | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Chop Chop: Leftless/Rightless,Chop Chop: Leftless/Rightless,C?n ti?ng Anh nghi v?n: Chop; Leftless; Rightless | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Roya Frostlands: Frostlands Surface,Roya Frostlands: Frostlands Surface,C?n ti?ng Anh nghi v?n: Frostlands; Roya; Surface | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Roya Frostlands: Frostlands Surface,Roya Frostlands: Frostlands Surface,C?n ti?ng Anh nghi v?n: Frostlands; Roya; Surface | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Winner Winner Chicken Dinner,Winner Winner Chicken Dinner,C?n ti?ng Anh nghi v?n: Chicken; Dinner; Winner | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"Every Loss, Every Gain","Every Loss, Every Gain",C?n ti?ng Anh nghi v?n: Every; Gain; Loss | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"Scar II dungeon unlocked, Scar I mission completed","Phó bản Scar II đã mở khóa, nhiệm vụ Scar I đã hoàn thành",C?n ti?ng Anh nghi v?n: I; II; Scar | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"Scar II dungeon unlocked, Scar I mission completed, client-side judgement","Phó bản Scar II đã mở khóa, nhiệm vụ Scar I đã hoàn thành, phán xét phía máy khách",C?n ti?ng Anh nghi v?n: I; II; Scar | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Reader A and Reader B giveaway e-books,Reader A và Reader B tặng sách điện tử,C?n ti?ng Anh nghi v?n: A; B; Reader | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Reader A and Reader B giveaway e-books,Reader A và Reader B tặng sách điện tử,C?n ti?ng Anh nghi v?n: A; B; Reader | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"Lo, Lo, Lollo Logistics!","Lo, Lo, Lollo Logistics!",C?n ti?ng Anh nghi v?n: Lo; Logistics; Lollo | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Full Moon Full Life,Full Moon Full Life,C?n ti?ng Anh nghi v?n: Full; Life; Moon | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
<i>To the End of Lament</i>,<i>To the End of Lament</i>,C?n ti?ng Anh nghi v?n: End; of; To | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.6 | M?c ??: 21.0
Complete the Gulpuff Challenge in 60 seconds,Complete the Gulpuff Challenge trong 60 giây,C?n ti?ng Anh nghi v?n: Challenge; Complete; Gulpuff | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.6 | M?c ??: 21.0
Female Rover for Finishing Attack,Female Rover cho Finishing Attack,C?n ti?ng Anh nghi v?n: Attack; Female; Finishing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.6 | M?c ??: 21.0
Female Rover for Finishing Attack,Female Rover cho Finishing Attack,C?n ti?ng Anh nghi v?n: Attack; Female; Finishing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.6 | M?c ??: 21.0
Male Rover for Finishing Attack,Male Rover cho Finishing Attack,C?n ti?ng Anh nghi v?n: Attack; Finishing; Male | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.6 | M?c ??: 21.0
Male Rover for Finishing Attack,Male Rover cho Finishing Attack,C?n ti?ng Anh nghi v?n: Attack; Finishing; Male | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.6 | M?c ??: 21.0
Dismount / (Hold) Dismount Attack,Dismount / (Giữ) Dismount Attack,C?n ti?ng Anh nghi v?n: Attack; Dismount | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Dismount / (Hold) Dismount Attack,Dismount / (Giữ) Dismount Attack,C?n ti?ng Anh nghi v?n: Attack; Dismount | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Ashes to Ashes,Ashes to Ashes,C?n ti?ng Anh nghi v?n: Ashes; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Unique Effect: Hitting enemies with Burst skills reduces all Namipon Support Skill Cooldowns.,Hiệu ứng Đặc biệt: Đánh trúng kẻ địch bằng kỹ năng Burst sẽ giảm tất cả Cooldown Kỹ năng Hỗ trợ Namipon.,C?n ti?ng Anh nghi v?n: Burst; Cooldown; Namipon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Challenge Completed,Challenge Complete,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Challenge Completed,Challenge Complete,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Challenge Completed,Challenge Complete,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Challenge Completed,Challenge Complete,C?n ti?ng Anh nghi v?n: Challenge; Complete | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Goal 3: Cast Intro Skills 4 times,Mục tiêu 3: Sử dụng Intro Skill 4 lần,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Goal 3: Cast Intro Skills 4 times,Mục tiêu 3: Sử dụng Intro Skill 4 lần,C?n ti?ng Anh nghi v?n: Intro; Skill | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
"Achieve an S Rating at any difficulty for 12 tracks in the event ""Soar to the Beat""","Đạt Xếp Hạng S ở bất kỳ độ khó nào cho 12 bản nhạc trong sự kiện ""Soar to the Beat""",C?n ti?ng Anh nghi v?n: Beat; S; Soar; to | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 20.71
Soar to the Beat Companion net selected,Chưa chọn Companion Resonator cho Soar to the Beat,C?n ti?ng Anh nghi v?n: Beat; Companion; Soar; to | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 20.71
Obtain at least 24 Crests in any one phase of Tower of Adversity: Hazard Zone,Thu thập ít nhất 24 Crest trong bất kỳ giai đoạn nào của Tower of Adversity: Hazard Zone,C?n ti?ng Anh nghi v?n: Adversity; Hazard; of; Tower; Zone | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.556 | M?c ??: 20.56
