en_source,vn_translate,loi_du_doan
Immobilize Pilgrim's Shell: {挑战2统计}/1,Immobilize Pilgrim's Shell: {挑战2统计}/1,C?n ti?ng Anh nghi v?n: Immobilize; Pilgrim's; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sonoro Sphere: Skills,Sonoro Sphere: Skills,C?n ti?ng Anh nghi v?n: Skills; Sonoro; Sphere | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tactical Hologram: Calamity,Tactical Hologram: Calamity,C?n ti?ng Anh nghi v?n: Calamity; Hologram; Tactical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lollo Joy Album,Album Lollo Joy,C?n ti?ng Anh nghi v?n: Album; Joy; Lollo | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficent Shell Credit,Insufficent Shell Credit,C?n ti?ng Anh nghi v?n: Credit; Insufficent; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Surface,Black Shores: Surface,C?n ti?ng Anh nghi v?n: Black; Shores; Surface | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Surface,Black Shores: Surface,C?n ti?ng Anh nghi v?n: Black; Shores; Surface | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Surface,Black Shores: Surface,C?n ti?ng Anh nghi v?n: Black; Shores; Surface | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Surface,Black Shores: Surface,C?n ti?ng Anh nghi v?n: Black; Shores; Surface | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Surface,Black Shores: Surface,C?n ti?ng Anh nghi v?n: Black; Shores; Surface | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Underground,Black Shores: Underground,C?n ti?ng Anh nghi v?n: Black; Shores; Underground | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Underground,Black Shores: Underground,C?n ti?ng Anh nghi v?n: Black; Shores; Underground | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Underground,Black Shores: Underground,C?n ti?ng Anh nghi v?n: Black; Shores; Underground | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Underground,Black Shores: Underground,C?n ti?ng Anh nghi v?n: Black; Shores; Underground | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Underground,Black Shores: Underground,C?n ti?ng Anh nghi v?n: Black; Shores; Underground | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mt. Firmament: Hongzhen,Mt. Firmament: Hongzhen,C?n ti?ng Anh nghi v?n: Firmament; Hongzhen; Mt | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Doom of Destruction,Doom of Destruction,C?n ti?ng Anh nghi v?n: Destruction; Doom; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Silver Moon Grove,Silver Moon Grove,C?n ti?ng Anh nghi v?n: Grove; Moon; Silver | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Avinoleum: Inverted Seminary,Avinoleum: Inverted Seminary,C?n ti?ng Anh nghi v?n: Avinoleum; Inverted; Seminary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Avinoleum: Zargon Garden,Avinoleum: Zargon Garden,C?n ti?ng Anh nghi v?n: Avinoleum; Garden; Zargon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Porto-Veno Castle,Porto-Veno Castle,C?n ti?ng Anh nghi v?n: Castle; Porto; Veno | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cathedral of Mercury,Cathedral of Mercury,C?n ti?ng Anh nghi v?n: Cathedral; Mercury; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lake of Spirits,Lake of Spirits,C?n ti?ng Anh nghi v?n: Lake; of; Spirits | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Somnoire, the Illusive Realm","Somnoire, Illusive Realm",C?n ti?ng Anh nghi v?n: Illusive; Realm; Somnoire | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Camera Distance,Combat Camera Distance,C?n ti?ng Anh nghi v?n: Camera; Combat; Distance | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Moving Camera Correction,Moving Camera Correction,C?n ti?ng Anh nghi v?n: Camera; Correction; Moving | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Camera Correction,Combat Camera Correction,C?n ti?ng Anh nghi v?n: Camera; Combat; Correction | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Walk-Run Threshold,Walk-Run Threshold,C?n ti?ng Anh nghi v?n: Run; Threshold; Walk | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Children's Privacy Policy,Children's Privacy Policy,C?n ti?ng Anh nghi v?n: Children's; Policy; Privacy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Walk/Run (Toggle),Walk/Run (Toggle),C?n ti?ng Anh nghi v?n: Run; Toggle; Walk | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special Effects Quality,Special Effects Quality,C?n ti?ng Anh nghi v?n: Effects; Quality; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sound Output Device,Sound Output Device,C?n ti?ng Anh nghi v?n: Device; Output; Sound | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
HDR Peak Brightness,HDR Peak Brightness,C?n ti?ng Anh nghi v?n: Brightness; HDR; Peak | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hard Disk Drive (HDD),Khó Disk Drive (HDD),C?n ti?ng Anh nghi v?n: Disk; Drive; HDD | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Horizontal Camera Sensitivity,Horizontal Camera Sensitivity,C?n ti?ng Anh nghi v?n: Camera; Horizontal; Sensitivity | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vertical Camera Sensitivity,Vertical Camera Sensitivity,C?n ti?ng Anh nghi v?n: Camera; Sensitivity; Vertical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Camera Shake Intensity,Camera Shake Intensity,C?n ti?ng Anh nghi v?n: Camera; Intensity; Shake | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Regular Camera Distance,Regular Camera Distance,C?n ti?ng Anh nghi v?n: Camera; Distance; Regular | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Intel XeSS Graphics,Intel XeSS Graphics,C?n ti?ng Anh nghi v?n: Graphics; Intel; XeSS | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Borne Geochelone,Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Baby Viridblaze Saurian,Baby Viridblaze Saurian,C?n ti?ng Anh nghi v?n: Baby; Saurian; Viridblaze | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Yin-Yang Balance,Yin-Yang Balance,C?n ti?ng Anh nghi v?n: Balance; Yang; Yin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Violet-Feathered Heron,Violet-Feathered Heron,C?n ti?ng Anh nghi v?n: Feathered; Heron; Violet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cyan-Feathered Heron,Cyan-Feathered Heron,C?n ti?ng Anh nghi v?n: Cyan; Feathered; Heron | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Borne Geochelone,Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Scar: Aberrant Nightmare,Scar: Aberrant Nightmare,C?n ti?ng Anh nghi v?n: Aberrant; Nightmare; Scar | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dragon of Dirge,Dragon of Dirge,C?n ti?ng Anh nghi v?n: Dirge; Dragon; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Feilian Beringal,Nightmare: Feilian Beringal,C?n ti?ng Anh nghi v?n: Beringal; Feilian; Nightmare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Impermanence Heron,Nightmare: Impermanence Heron,C?n ti?ng Anh nghi v?n: Heron; Impermanence; Nightmare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Thundering Mephis,Nightmare: Thundering Mephis,C?n ti?ng Anh nghi v?n: Mephis; Nightmare; Thundering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Tempest Mephis,Nightmare: Tempest Mephis,C?n ti?ng Anh nghi v?n: Mephis; Nightmare; Tempest | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Inferno Rider,Nightmare: Inferno Rider,C?n ti?ng Anh nghi v?n: Inferno; Nightmare; Rider | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Mourning Aix,Nightmare: Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Mourning; Nightmare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Lampylumen Myriad,Nightmare: Lampylumen Myriad,C?n ti?ng Anh nghi v?n: Lampylumen; Myriad; Nightmare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lioness of Glory,Lioness of Glory,C?n ti?ng Anh nghi v?n: Glory; Lioness; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Baby Roseshroom,Nightmare: Baby Roseshroom,C?n ti?ng Anh nghi v?n: Baby; Nightmare; Roseshroom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Tick Tack,Nightmare: Tick Tack,C?n ti?ng Anh nghi v?n: Nightmare; Tack; Tick | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Dwarf Cassowary,Nightmare: Dwarf Cassowary,C?n ti?ng Anh nghi v?n: Cassowary; Dwarf; Nightmare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Viridblaze Saurian,Nightmare: Viridblaze Saurian,C?n ti?ng Anh nghi v?n: Nightmare; Saurian; Viridblaze | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Scar: Lightbane Reversal,Scar: Lightbane Reversal,C?n ti?ng Anh nghi v?n: Lightbane; Reversal; Scar | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Aleph-1's Creation,Aleph-1's Creation,C?n ti?ng Anh nghi v?n: Aleph; Creation; s | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Mourning Aix,Phantom: Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Mourning; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Rocksteady Guardian,Phantom: Rocksteady Guardian,C?n ti?ng Anh nghi v?n: Guardian; Phantom; Rocksteady | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hoartoise-Discoverd placeholder,Hoartoise-Discoverd placeholder,C?n ti?ng Anh nghi v?n: Discoverd; Hoartoise; placeholder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hoartoise-Underdiscovered placeholder,Hoartoise-Underdiscovered placeholder,C?n ti?ng Anh nghi v?n: Hoartoise; placeholder; Underdiscovered | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Thundering Mephis,Phantom: Thundering Mephis,C?n ti?ng Anh nghi v?n: Mephis; Phantom; Thundering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Feilian Beringal,Phantom: Feilian Beringal,C?n ti?ng Anh nghi v?n: Beringal; Feilian; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Impermanence Heron,Phantom: Impermanence Heron,C?n ti?ng Anh nghi v?n: Heron; Impermanence; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Clang Bang,Phantom: Clang Bang,C?n ti?ng Anh nghi v?n: Bang; Clang; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Lumiscale Construct,Phantom: Lumiscale Construct,C?n ti?ng Anh nghi v?n: Construct; Lumiscale; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Inferno Rider,Phantom: Inferno Rider,C?n ti?ng Anh nghi v?n: Inferno; Phantom; Rider | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capitaneus - Discovered placeholder,Capitaneus - Discovered placeholder,C?n ti?ng Anh nghi v?n: Capitaneus; Discovered; placeholder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capitaneus - Undiscovered placeholder,Capitaneus - Undiscovered placeholder,C?n ti?ng Anh nghi v?n: Capitaneus; placeholder; Undiscovered | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Nimbus Wraith,Phantom: Nimbus Wraith,C?n ti?ng Anh nghi v?n: Nimbus; Phantom; Wraith | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Nightmare Crownless,Phantom: Nightmare Crownless,C?n ti?ng Anh nghi v?n: Crownless; Nightmare; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Chest Mimic,Phantom: Chest Mimic,C?n ti?ng Anh nghi v?n: Chest; Mimic; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Fae Ignis,Phantom: Fae Ignis,C?n ti?ng Anh nghi v?n: Fae; Ignis; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Cuddle Wuddle,Phantom: Cuddle Wuddle,C?n ti?ng Anh nghi v?n: Cuddle; Phantom; Wuddle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Zip Zap,Phantom: Zip Zap,C?n ti?ng Anh nghi v?n: Phantom; Zap; Zip | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Iceglint Dancer,Phantom: Iceglint Dancer,C?n ti?ng Anh nghi v?n: Dancer; Iceglint; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Elite Class (COST 3),Elite Class (COST 3),C?n ti?ng Anh nghi v?n: Class; COST; Elite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Overlord Class (COST 4),Overlord Class (COST 4),C?n ti?ng Anh nghi v?n: Class; COST; Overlord | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Calamity Class (COST 4),Calamity Class (COST 4),C?n ti?ng Anh nghi v?n: Calamity; Class; COST | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Wuthering Waves Dev Team,Wuthering Waves Dev Đội,C?n ti?ng Anh nghi v?n: Dev; Waves; Wuthering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Wuthering Waves Dev Team,Wuthering Waves Dev Đội,C?n ti?ng Anh nghi v?n: Dev; Waves; Wuthering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tiger's Maw Ore,Tiger's Maw Ore,C?n ti?ng Anh nghi v?n: Maw; Ore; Tiger's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tiger's Maw Eatery,Tiger's Maw Eatery,C?n ti?ng Anh nghi v?n: Eatery; Maw; Tiger's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Intelligent Retrieval & Indexing System,Intelligent Retrieval & Indexing Hệ thống,C?n ti?ng Anh nghi v?n: Indexing; Intelligent; Retrieval | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Prism Fruit Spectrometer,Prism Fruit Spectrometer,C?n ti?ng Anh nghi v?n: Fruit; Prism; Spectrometer | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tiger's Maw Ore,Tiger's Maw Ore,C?n ti?ng Anh nghi v?n: Maw; Ore; Tiger's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tiger's Maw Eatery,Tiger's Maw Eatery,C?n ti?ng Anh nghi v?n: Eatery; Maw; Tiger's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
KU-Money Exchange,KU-Money Exchange,C?n ti?ng Anh nghi v?n: Exchange; KU; Money | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Depth Blur Radius,Depth Blur Radius,C?n ti?ng Anh nghi v?n: Blur; Depth; Radius | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Maximum number reached,Maximum number reached,C?n ti?ng Anh nghi v?n: Maximum; number; reached | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special Room found,Special Room found,C?n ti?ng Anh nghi v?n: found; Room; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dream Fragment Obtained,Dream Fragment Obtained,C?n ti?ng Anh nghi v?n: Dream; Fragment; Obtained | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Dream Fragments,Insufficient Dream Fragments,C?n ti?ng Anh nghi v?n: Dream; Fragments; Insufficient | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Memory Points,Insufficient Memory Points,C?n ti?ng Anh nghi v?n: Insufficient; Memory; Points | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Wooly-Counting Game,Wooly-Counting Game,C?n ti?ng Anh nghi v?n: Counting; Game; Wooly | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lightning of Execution,Lightning of Execution,C?n ti?ng Anh nghi v?n: Execution; Lightning; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fist of Thunder,Fist of Thunder,C?n ti?ng Anh nghi v?n: Fist; of; Thunder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Breath of Winds,Breath of Winds,C?n ti?ng Anh nghi v?n: Breath; of; Winds | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vessel of Sounds,Vessel of Sounds,C?n ti?ng Anh nghi v?n: of; Sounds; Vessel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vessel of Sounds,Vessel of Sounds,C?n ti?ng Anh nghi v?n: of; Sounds; Vessel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Power of Xuanwu,Power of Xuanwu,C?n ti?ng Anh nghi v?n: of; Power; Xuanwu | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vessel of Sounds,Vessel of Sounds,C?n ti?ng Anh nghi v?n: of; Sounds; Vessel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vessel of Sounds,Vessel of Sounds,C?n ti?ng Anh nghi v?n: of; Sounds; Vessel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tiger's Maw Ore,Tiger's Maw Ore,C?n ti?ng Anh nghi v?n: Maw; Ore; Tiger's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tiger's Maw Eatery,Tiger's Maw Eatery,C?n ti?ng Anh nghi v?n: Eatery; Maw; Tiger's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
KU-Money Exchange,KU-Money Exchange,C?n ti?ng Anh nghi v?n: Exchange; KU; Money | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Averardo Bank Counter,Averardo Bank Counter,C?n ti?ng Anh nghi v?n: Averardo; Bank; Counter | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Averardo Bank Counter,Averardo Bank Counter,C?n ti?ng Anh nghi v?n: Averardo; Bank; Counter | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fountain of Zephyr,Fountain of Zephyr,C?n ti?ng Anh nghi v?n: Fountain; of; Zephyr | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fountain of Explosion,Fountain of Explosion,C?n ti?ng Anh nghi v?n: Explosion; Fountain; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fountain of Frost,Fountain of Frost,C?n ti?ng Anh nghi v?n: Fountain; Frost; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physical Training I,Physical Training I,C?n ti?ng Anh nghi v?n: I; Physical; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physical Training I,Physical Training I,C?n ti?ng Anh nghi v?n: I; Physical; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physical Training II,Physical Training II,C?n ti?ng Anh nghi v?n: II; Physical; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physical Training II,Physical Training II,C?n ti?ng Anh nghi v?n: II; Physical; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physical Training III,Physical Training III,C?n ti?ng Anh nghi v?n: III; Physical; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physical Training III,Physical Training III,C?n ti?ng Anh nghi v?n: III; Physical; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physical Training IV,Physical Training IV,C?n ti?ng Anh nghi v?n: IV; Physical; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physical Training IV,Physical Training IV,C?n ti?ng Anh nghi v?n: IV; Physical; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Training I,Combat Training I,C?n ti?ng Anh nghi v?n: Combat; I; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Training I,Combat Training I,C?n ti?ng Anh nghi v?n: Combat; I; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Training II,Combat Training II,C?n ti?ng Anh nghi v?n: Combat; II; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Training II,Combat Training II,C?n ti?ng Anh nghi v?n: Combat; II; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Training III,Combat Training III,C?n ti?ng Anh nghi v?n: Combat; III; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Training III,Combat Training III,C?n ti?ng Anh nghi v?n: Combat; III; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Training IV,Combat Training IV,C?n ti?ng Anh nghi v?n: Combat; IV; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combat Training IV,Combat Training IV,C?n ti?ng Anh nghi v?n: Combat; IV; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Integrated Training I,Integrated Training I,C?n ti?ng Anh nghi v?n: I; Integrated; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Integrated Training I,Integrated Training I,C?n ti?ng Anh nghi v?n: I; Integrated; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
shallow description text,shallow description text,C?n ti?ng Anh nghi v?n: description; shallow; text | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
deep description text,deep description text,C?n ti?ng Anh nghi v?n: deep; description; text | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
